game_id,season,week,home_team,away_team,gametime,stadium,location,roof,surface,temp,wind,home_bye,away_bye,home_time_advantage,dif_surface,div_game,hfa_base,home_bye_adj,away_bye_adj,home_time_advantage_adj,dif_surface_adj,div_game_adj,hfa_adj
1999_03_CIN_CAR,1999,3,CAR,CIN,,Ericsson Stadium,Home,outdoors,grass,70.0,6.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_03_MIN_GB,1999,3,GB,MIN,,Lambeau Field,Home,outdoors,grass,82.0,20.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_03_TEN_JAX,1999,3,JAX,TEN,,Alltel Stadium,Home,outdoors,grass,75.0,9.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_03_DET_KC,1999,3,KC,DET,,Arrowhead Stadium,Home,outdoors,grass,74.0,10.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_03_NYG_NE,1999,3,NE,NYG,,Foxboro Stadium,Home,outdoors,grass,62.0,5.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_03_WAS_NYJ,1999,3,NYJ,WAS,,Giants Stadium,Home,outdoors,astroturf,67.0,5.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_03_CHI_OAK,1999,3,OAK,CHI,,Network Associates Coliseum,Home,outdoors,grass,77.0,5.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_03_SEA_PIT,1999,3,PIT,SEA,,Three Rivers Stadium,Home,outdoors,astroturf,61.0,8.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_03_IND_LAC,1999,3,LAC,IND,,Qualcomm Stadium,Home,outdoors,grass,71.0,8.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_03_ATL_LAR,1999,3,LAR,ATL,,TWA Dome,Home,dome,astroturf,,,1,0,0.0,0,1,2.5,0.717,-0.0,0.0,0.0,-1.128,2.089
1999_03_DEN_TB,1999,3,TB,DEN,,Raymond James Stadium,Home,outdoors,grass,82.0,8.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_03_SF_ARI,1999,3,ARI,SF,,Sun Devil Stadium,Home,outdoors,grass,97.0,4.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_04_BAL_ATL,1999,4,ATL,BAL,,Georgia Dome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_04_NO_CHI,1999,4,CHI,NO,,Soldier Field,Home,outdoors,grass,49.0,8.0,0,1,0.0,1,0,2.5,0.0,-1.945,0.0,0.872,-0.0,1.427
1999_04_LAR_CIN,1999,4,CIN,LAR,,Cinergy Field,Home,outdoors,astroturf,62.0,0.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_04_NE_CLE,1999,4,CLE,NE,,Cleveland Browns Stadium,Home,outdoors,grass,59.0,15.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_04_ARI_DAL,1999,4,DAL,ARI,,Texas Stadium,Home,outdoors,astroturf,67.0,14.0,1,0,0.0,1,1,2.5,0.717,-0.0,0.0,0.872,-1.128,2.961
1999_04_NYJ_DEN,1999,4,DEN,NYJ,,Mile High Stadium,Home,outdoors,grass,54.0,7.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_04_TB_MIN,1999,4,MIN,TB,,Hubert H. Humphrey Metrodome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_04_PHI_NYG,1999,4,NYG,PHI,,Giants Stadium,Home,outdoors,astroturf,70.0,5.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_04_JAX_PIT,1999,4,PIT,JAX,,Three Rivers Stadium,Home,outdoors,astroturf,62.0,0.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_04_KC_LAC,1999,4,LAC,KC,,Qualcomm Stadium,Home,outdoors,grass,76.0,7.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_04_OAK_SEA,1999,4,SEA,OAK,,Seattle Kingdome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_04_TEN_SF,1999,4,SF,TEN,,3Com Park,Home,outdoors,grass,64.0,5.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_04_CAR_WAS,1999,4,WAS,CAR,,Jack Kent Cooke Stadium,Home,outdoors,grass,78.0,0.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_04_BUF_MIA,1999,4,MIA,BUF,,Pro Player Stadium,Home,outdoors,grass,79.0,0.0,1,0,0.0,1,1,2.5,0.717,-0.0,0.0,0.872,-1.128,2.961
1999_05_NYG_ARI,1999,5,ARI,NYG,,Sun Devil Stadium,Home,outdoors,grass,95.0,5.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_05_PIT_BUF,1999,5,BUF,PIT,,Ralph Wilson Stadium,Home,outdoors,astroturf,65.0,10.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_05_CIN_CLE,1999,5,CLE,CIN,,Cleveland Browns Stadium,Home,outdoors,grass,65.0,8.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_05_LAC_DET,1999,5,DET,LAC,,Pontiac Silverdome,Home,dome,astroturf,,,1,0,0.0,1,0,2.5,0.717,-0.0,0.0,0.872,-0.0,4.089
1999_05_TB_GB,1999,5,GB,TB,,Lambeau Field,Home,outdoors,grass,58.0,8.0,1,0,0.0,0,1,2.5,0.717,-0.0,0.0,0.0,-1.128,2.089
1999_05_MIA_IND,1999,5,IND,MIA,,RCA Dome,Home,dome,astroturf,,,1,0,0.0,1,1,2.5,0.717,-0.0,0.0,0.872,-1.128,2.961
1999_05_NE_KC,1999,5,KC,NE,,Arrowhead Stadium,Home,outdoors,grass,73.0,3.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_05_CHI_MIN,1999,5,MIN,CHI,,Hubert H. Humphrey Metrodome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_05_ATL_NO,1999,5,NO,ATL,,Louisiana Superdome,Home,dome,astroturf,,,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_05_DEN_OAK,1999,5,OAK,DEN,,Network Associates Coliseum,Home,outdoors,grass,79.0,8.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_05_DAL_PHI,1999,5,PHI,DAL,,Veterans Stadium,Home,outdoors,astroturf,65.0,18.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_05_SF_LAR,1999,5,LAR,SF,,TWA Dome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_05_BAL_TEN,1999,5,TEN,BAL,,Adelphia Coliseum,Home,outdoors,grass,75.0,9.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_05_JAX_NYJ,1999,5,NYJ,JAX,,Giants Stadium,Home,outdoors,astroturf,61.0,10.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_06_WAS_ARI,1999,6,ARI,WAS,,Sun Devil Stadium,Home,outdoors,grass,79.0,12.0,0,1,0.0,0,1,2.5,0.0,-1.945,0.0,0.0,-1.128,-0.573
1999_06_LAR_ATL,1999,6,ATL,LAR,,Georgia Dome,Home,dome,astroturf,,,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_06_OAK_BUF,1999,6,BUF,OAK,,Ralph Wilson Stadium,Home,outdoors,astroturf,52.0,8.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_06_PHI_CHI,1999,6,CHI,PHI,,Soldier Field,Home,outdoors,grass,51.0,14.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_06_PIT_CIN,1999,6,CIN,PIT,,Cinergy Field,Home,outdoors,astroturf,58.0,11.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_06_GB_DEN,1999,6,DEN,GB,,Mile High Stadium,Home,outdoors,grass,50.0,0.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_06_MIN_DET,1999,6,DET,MIN,,Pontiac Silverdome,Home,dome,astroturf,,,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_06_CLE_JAX,1999,6,JAX,CLE,,Alltel Stadium,Home,outdoors,grass,71.0,18.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_06_MIA_NE,1999,6,NE,MIA,,Foxboro Stadium,Home,outdoors,grass,72.0,5.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_06_TEN_NO,1999,6,NO,TEN,,Louisiana Superdome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_06_IND_NYJ,1999,6,NYJ,IND,,Giants Stadium,Home,outdoors,astroturf,68.0,6.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_06_SEA_LAC,1999,6,LAC,SEA,,Qualcomm Stadium,Home,outdoors,grass,78.0,9.0,0,1,0.0,1,1,2.5,0.0,-1.945,0.0,0.872,-1.128,0.299
1999_06_CAR_SF,1999,6,SF,CAR,,3Com Park,Home,outdoors,grass,76.0,6.0,0,1,0.0,0,1,2.5,0.0,-1.945,0.0,0.0,-1.128,-0.573
1999_06_DAL_NYG,1999,6,NYG,DAL,,Giants Stadium,Home,outdoors,astroturf,58.0,16.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_07_KC_BAL,1999,7,BAL,KC,,PSINet Stadium,Home,outdoors,grass,55.0,5.0,1,1,0.0,0,0,2.5,0.717,-1.945,0.0,0.0,-0.0,1.272
1999_07_DET_CAR,1999,7,CAR,DET,,Ericsson Stadium,Home,outdoors,grass,55.0,15.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_07_WAS_DAL,1999,7,DAL,WAS,,Texas Stadium,Home,outdoors,astroturf,64.0,6.0,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_07_CIN_IND,1999,7,IND,CIN,,RCA Dome,Home,dome,astroturf,,,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_07_PHI_MIA,1999,7,MIA,PHI,,Pro Player Stadium,Home,outdoors,grass,75.0,12.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_07_SF_MIN,1999,7,MIN,SF,,Hubert H. Humphrey Metrodome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_07_DEN_NE,1999,7,NE,DEN,,Foxboro Stadium,Home,outdoors,grass,53.0,25.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_07_NO_NYG,1999,7,NYG,NO,,Giants Stadium,Home,outdoors,astroturf,54.0,14.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_07_NYJ_OAK,1999,7,OAK,NYJ,,Network Associates Coliseum,Home,outdoors,grass,63.0,10.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_07_GB_LAC,1999,7,LAC,GB,,Qualcomm Stadium,Home,outdoors,grass,78.0,8.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_07_BUF_SEA,1999,7,SEA,BUF,,Seattle Kingdome,Home,dome,astroturf,,,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_07_CLE_LAR,1999,7,LAR,CLE,,TWA Dome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_07_CHI_TB,1999,7,TB,CHI,,Raymond James Stadium,Home,outdoors,grass,66.0,12.0,1,0,0.0,0,1,2.5,0.717,-0.0,0.0,0.0,-1.128,2.089
1999_07_ATL_PIT,1999,7,PIT,ATL,,Three Rivers Stadium,Home,outdoors,astroturf,53.0,6.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_08_NE_ARI,1999,8,ARI,NE,,Sun Devil Stadium,Home,outdoors,grass,88.0,0.0,1,0,0.0,0,0,2.5,0.717,-0.0,0.0,0.0,-0.0,3.217
1999_08_CAR_ATL,1999,8,ATL,CAR,,Georgia Dome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_08_BUF_BAL,1999,8,BAL,BUF,,PSINet Stadium,Home,outdoors,grass,71.0,8.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_08_JAX_CIN,1999,8,CIN,JAX,,Cinergy Field,Home,outdoors,astroturf,69.0,5.0,0,1,0.0,1,1,2.5,0.0,-1.945,0.0,0.872,-1.128,0.299
1999_08_MIN_DEN,1999,8,DEN,MIN,,Mile High Stadium,Home,outdoors,grass,75.0,5.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_08_TB_DET,1999,8,DET,TB,,Pontiac Silverdome,Home,dome,astroturf,,,0,0,0.0,1,1,2.5,0.0,-0.0,0.0,0.872,-1.128,2.244
1999_08_DAL_IND,1999,8,IND,DAL,,RCA Dome,Home,dome,astroturf,,,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_08_LAC_KC,1999,8,KC,LAC,,Arrowhead Stadium,Home,outdoors,grass,65.0,10.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_08_CLE_NO,1999,8,NO,CLE,,Louisiana Superdome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_08_MIA_OAK,1999,8,OAK,MIA,,Network Associates Coliseum,Home,outdoors,grass,70.0,10.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_08_NYG_PHI,1999,8,PHI,NYG,,Veterans Stadium,Home,outdoors,astroturf,63.0,8.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_08_LAR_TEN,1999,8,TEN,LAR,,Adelphia Coliseum,Home,outdoors,grass,76.0,10.0,1,0,0.0,1,0,2.5,0.717,-0.0,0.0,0.872,-0.0,4.089
1999_08_CHI_WAS,1999,8,WAS,CHI,,Jack Kent Cooke Stadium,Home,outdoors,grass,75.0,8.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_08_SEA_GB,1999,8,GB,SEA,,Lambeau Field,Home,outdoors,grass,40.0,18.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_09_JAX_ATL,1999,9,ATL,JAX,,Georgia Dome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_09_PHI_CAR,1999,9,CAR,PHI,,Ericsson Stadium,Home,outdoors,grass,74.0,10.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_09_BAL_CLE,1999,9,CLE,BAL,,Cleveland Browns Stadium,Home,outdoors,grass,47.0,15.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_09_LAR_DET,1999,9,DET,LAR,,Pontiac Silverdome,Home,dome,astroturf,,,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_09_CHI_GB,1999,9,GB,CHI,,Lambeau Field,Home,outdoors,grass,51.0,5.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_09_KC_IND,1999,9,IND,KC,,RCA Dome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_09_TEN_MIA,1999,9,MIA,TEN,,Pro Player Stadium,Home,outdoors,grass,74.0,13.0,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_09_TB_NO,1999,9,NO,TB,,Louisiana Superdome,Home,dome,astroturf,,,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_09_ARI_NYJ,1999,9,NYJ,ARI,,Giants Stadium,Home,outdoors,astroturf,48.0,20.0,1,0,0.0,1,0,2.5,0.717,-0.0,0.0,0.872,-0.0,4.089
1999_09_DEN_LAC,1999,9,LAC,DEN,,Qualcomm Stadium,Home,outdoors,grass,69.0,7.0,0,0,0.0,0,1,2.5,0.0,-0.0,0.0,0.0,-1.128,1.372
1999_09_CIN_SEA,1999,9,SEA,CIN,,Seattle Kingdome,Home,dome,astroturf,,,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_09_PIT_SF,1999,9,SF,PIT,,3Com Park,Home,outdoors,grass,55.0,25.0,1,1,0.0,1,0,2.5,0.717,-1.945,0.0,0.872,-0.0,2.144
1999_09_BUF_WAS,1999,9,WAS,BUF,,Jack Kent Cooke Stadium,Home,outdoors,grass,54.0,14.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
1999_09_DAL_MIN,1999,9,MIN,DAL,,Hubert H. Humphrey Metrodome,Home,dome,astroturf,,,0,0,0.0,0,0,2.5,0.0,-0.0,0.0,0.0,-0.0,2.5
1999_10_DET_ARI,1999,10,ARI,DET,,Sun Devil Stadium,Home,outdoors,grass,89.0,3.0,0,0,0.0,1,0,2.5,0.0,-0.0,0.0,0.872,-0.0,3.372
