,level,level_weeks,reg_weeks,kick_in,mae
371,2.25,23,272,1.0,10.62982576057564
372,2.5,12,270,0.75,10.629826289643846
373,2.25,16,264,1.0,10.629826602184323
374,2.25,23,273,1.0,10.62982663378043
375,2.5,17,284,0.75,10.629826837013391
376,2.5,10,200,1.0,10.629827977578678
377,2.25,10,281,0.75,10.629828423215452
378,2.25,13,282,0.75,10.62982864549317
379,2.5,15,279,0.75,10.629828843325493
380,2.25,12,296,0.75,10.629828981589762
381,2.25,17,285,0.75,10.629829405195904
382,2.25,15,299,0.75,10.629829481047
383,2.5,11,201,1.0,10.62982975122665
384,2.25,17,268,1.0,10.629830461057953
385,2.25,21,275,1.0,10.629831603963702
386,2.5,14,273,0.75,10.629834271405633
387,2.5,16,286,0.75,10.62983490426974
388,2.25,10,260,1.0,10.629835632663378
389,2.25,16,265,1.0,10.629836236318429
390,2.5,10,124,1.0,10.629836508223422
391,2.25,16,283,0.75,10.629837395745332
392,2.5,14,287,0.75,10.629838912624736
393,2.5,14,272,0.75,10.629840165941
394,2.25,13,261,1.0,10.629841649033676
395,2.5,14,277,0.75,10.629842269508734
396,2.5,10,207,1.0,10.629842873955733
397,2.5,16,280,0.75,10.629842916362945
398,2.25,10,295,0.75,10.62984339250477
399,2.25,22,271,1.0,10.629844051760797
400,2.25,14,297,0.75,10.62984433578572
401,2.5,11,289,0.75,10.629844423550066
402,2.25,20,270,1.0,10.62984456041704
403,2.5,12,121,1.0,10.62984481562622
404,2.25,15,298,0.75,10.62984494663305
405,2.5,11,268,0.75,10.629845109449864
406,2.25,16,287,0.75,10.629845256611056
407,2.5,17,285,0.75,10.62984548583787
408,2.25,16,266,1.0,10.629845588269726
409,2.25,17,286,0.75,10.629847107686537
410,2.5,17,283,0.75,10.629848095837229
411,2.25,12,290,0.75,10.629848131106954
412,2.5,13,288,0.75,10.629848918484024
413,2.5,11,267,0.75,10.629849832193583
414,2.25,15,262,1.0,10.62984998492229
415,2.25,11,281,0.75,10.629850109813718
416,2.25,18,280,1.0,10.629853388305456
417,2.25,17,284,0.75,10.62985412915696
418,2.25,14,282,1.0,10.629855775499028
419,2.5,14,274,0.75,10.629856817197693
420,2.25,15,288,0.75,10.62985724276453
421,2.25,11,284,1.0,10.629858257916002
422,2.5,10,191,1.0,10.629858427945663
423,2.25,10,291,0.75,10.629858590007755
424,2.25,14,289,0.75,10.629859135470166
425,2.25,13,296,0.75,10.629859887411651
426,2.5,12,269,0.75,10.62986054109347
427,2.5,11,299,0.75,10.629861439363037
428,2.25,14,282,0.75,10.62986147309626
429,2.25,19,278,1.0,10.6298616083964
430,2.5,11,202,1.0,10.629861808217733
431,2.25,23,274,1.0,10.629862620502523
432,2.25,16,263,1.0,10.629863443450146
433,2.25,19,269,1.0,10.629863588171691
434,2.5,15,278,0.75,10.629863739223936
435,2.25,17,267,1.0,10.629864962534873
436,2.25,11,295,0.75,10.62986659032835
437,2.5,13,120,1.0,10.629866684876154
438,2.25,21,276,1.0,10.629867135951264
439,2.25,19,279,1.0,10.629867466928912
440,2.25,20,277,1.0,10.62986943832184
441,2.5,12,119,1.0,10.629869543930775
442,2.5,14,276,0.75,10.62986979067618
443,2.5,10,190,1.0,10.629870455709348
444,2.5,17,282,0.75,10.629870835031708
445,2.5,14,275,0.75,10.629871576684891
446,2.25,24,272,1.0,10.6298721751345
447,2.5,11,298,0.75,10.629872638477158
448,2.25,22,275,1.0,10.629872671896278
449,2.25,24,273,1.0,10.629872735599749
450,2.25,17,264,1.0,10.629873127552736
451,2.25,16,281,1.0,10.62987333179846
452,2.5,17,281,0.75,10.629873663761622
453,2.25,18,268,1.0,10.629874059273972
454,2.25,12,281,0.75,10.629875060153434
455,2.5,16,279,0.75,10.629876020081044
456,2.25,17,283,0.75,10.629876262702332
457,2.5,13,270,0.75,10.629877409472366
458,2.25,11,260,1.0,10.629877433210265
459,2.25,16,299,0.75,10.629878613403047
460,2.5,14,271,0.75,10.629879003974963
461,2.25,17,265,1.0,10.629880901092356
462,2.25,18,285,0.75,10.629881224974076
463,2.5,12,122,1.0,10.629881980276862
464,2.25,13,290,0.75,10.629885531780843
465,2.5,10,266,0.75,10.6298858485798
466,2.5,10,297,0.75,10.62988678060115
467,2.25,21,270,1.0,10.629886895989118
468,2.5,18,284,0.75,10.629887310794636
469,2.25,11,291,0.75,10.629887325745424
470,2.25,23,271,1.0,10.629887826011034
471,2.5,15,277,0.75,10.62988862158519
472,2.25,14,261,1.0,10.629888692240122
473,2.25,15,297,0.75,10.629888765868063
474,2.25,17,266,1.0,10.62988904473497
475,2.25,13,283,1.0,10.629889260908378
476,2.5,15,273,0.75,10.629889488740275
477,2.75,10,120,1.0,10.629890488922038
478,2.5,12,268,0.75,10.629891285578804
479,2.25,16,298,0.75,10.629891463702888
480,2.5,15,287,0.75,10.629891684543086
481,2.5,17,280,0.75,10.629891895796318
482,2.25,12,295,0.75,10.629892199004145
483,2.5,12,289,0.75,10.629894375553937
484,2.5,11,205,1.0,10.629894442047414
485,2.25,15,282,0.75,10.62989471751297
486,2.5,15,272,0.75,10.629895828671566
487,2.25,14,296,0.75,10.62989628195712
488,2.25,17,287,0.75,10.629896776207977
489,2.25,16,262,1.0,10.629897571702392
490,2.5,10,262,1.0,10.62989809574638
491,2.25,18,286,0.75,10.62989862638146
492,2.5,17,286,0.75,10.629899296183806
493,2.5,12,267,0.75,10.629899954044369
494,2.5,14,288,0.75,10.629900584416388
495,2.25,10,280,0.75,10.629901073120545
496,2.25,18,284,0.75,10.629901147935922
497,2.5,11,203,1.0,10.629901539309428
498,2.25,13,281,0.75,10.62990222802597
499,2.5,18,283,0.75,10.629904412112932
500,2.25,15,289,0.75,10.629906115655867
501,2.25,20,269,1.0,10.629906231779788
502,2.25,16,288,0.75,10.629907272988532
503,2.25,24,274,1.0,10.6299076457815
504,2.5,11,192,1.0,10.62990770762956
505,2.25,18,267,1.0,10.629907947597138
506,2.25,22,276,1.0,10.629908567118209
507,2.25,20,278,1.0,10.629908797546468
508,2.5,18,285,0.75,10.629909330238654
509,2.5,13,269,0.75,10.629909402479395
510,2.5,15,274,0.75,10.629909636551409
511,2.25,17,263,1.0,10.629909644963378
512,2.5,10,194,1.0,10.629909903773516
513,2.25,19,280,1.0,10.629910287041264
514,2.5,16,278,0.75,10.629910680755954
515,2.5,12,299,0.75,10.62991187237682
516,2.25,10,292,0.75,10.62991219326211
517,2.5,10,263,1.0,10.629912397574182
518,2.25,10,294,0.75,10.629912439073294
519,2.25,21,277,1.0,10.629912796705748
520,2.5,11,204,1.0,10.629914764813176
521,2.5,10,264,1.0,10.629914980883512
522,2.5,15,276,0.75,10.629915568617054
523,2.25,23,275,1.0,10.62991668683482
524,2.25,19,268,1.0,10.62991701597768
525,2.25,25,273,1.0,10.629917757912152
526,2.25,25,272,1.0,10.629917813331454
527,2.25,20,279,1.0,10.629918307248303
528,2.25,18,264,1.0,10.62991853683333
529,2.25,12,291,0.75,10.62991892403512
530,2.25,18,283,0.75,10.629919123504193
531,2.25,11,280,0.75,10.62991914089984
532,2.25,13,295,0.75,10.629919441963526
533,2.5,11,193,1.0,10.629919561204716
534,2.25,12,260,1.0,10.629920616962776
535,2.25,15,282,1.0,10.62992077353212
536,2.5,12,298,0.75,10.629920977885376
537,2.25,10,293,0.75,10.629921647353896
538,2.5,15,275,0.75,10.629921833271416
539,2.5,10,261,1.0,10.629923610556874
540,2.5,17,279,0.75,10.629924655740512
541,2.25,18,265,1.0,10.62992468052582
542,2.5,18,282,0.75,10.629924792410504
543,2.5,12,123,1.0,10.629925195600345
544,2.25,14,290,0.75,10.629925198898787
545,2.5,18,281,0.75,10.629926213520353
546,2.25,17,299,0.75,10.629926488725305
547,2.25,16,282,0.75,10.629928025266029
548,2.25,22,270,1.0,10.62992847977554
549,2.5,11,297,0.75,10.629928807377928
550,2.5,11,200,1.0,10.629928985640824
551,2.5,10,290,0.75,10.629929256974007
552,2.25,14,281,0.75,10.62993083640512
553,2.5,14,270,0.75,10.629930885467806
554,2.25,19,285,0.75,10.62993116991491
555,2.25,11,294,0.75,10.629932076643197
556,2.25,18,266,1.0,10.62993214170847
557,2.25,16,297,0.75,10.629932611222037
558,2.5,15,271,0.75,10.62993282165244
559,2.25,24,271,1.0,10.629932855332092
560,2.25,12,284,1.0,10.6299337006806
561,2.5,11,266,0.75,10.629934059081103
562,2.25,17,281,1.0,10.629934115704554
563,2.25,15,261,1.0,10.62993510860501
564,2.5,11,206,1.0,10.629935595480266
565,2.5,13,121,1.0,10.629935998991677
566,2.5,16,277,0.75,10.629936063830238
567,2.25,17,298,0.75,10.62993695882216
568,2.25,11,292,0.75,10.629937010001898
569,2.5,10,264,0.75,10.629937127529397
570,2.25,15,296,0.75,10.629937415999796
571,2.5,13,119,1.0,10.629939096340475
572,2.25,10,259,1.0,10.629939300065937
573,2.5,12,201,1.0,10.629940375833852
574,2.25,12,280,0.75,10.6299406582772
575,2.5,13,268,0.75,10.629941205160575
576,2.5,13,289,0.75,10.629942447719664
577,2.25,11,293,0.75,10.62994329022828
578,2.5,16,273,0.75,10.62994344766897
579,2.5,18,280,0.75,10.629943690815702
580,2.25,17,262,1.0,10.62994405968465
581,2.25,10,279,0.75,10.629945380995393
582,2.5,10,265,0.75,10.62994564875908
583,2.25,18,287,0.75,10.629946362361872
584,2.25,21,269,1.0,10.62994819014717
585,2.25,19,286,0.75,10.629948208429518
586,2.5,19,284,0.75,10.629948841249211
587,2.25,19,284,0.75,10.62994990471228
588,2.5,10,260,1.0,10.62994999891666
589,2.25,19,267,1.0,10.629950177500255
590,2.5,16,272,0.75,10.629950431251633
591,2.5,16,287,0.75,10.629950531091804
592,2.25,13,291,0.75,10.629950551507426
593,2.5,14,120,1.0,10.62995116663185
594,2.25,10,285,1.0,10.62995142857035
595,2.25,25,274,1.0,10.629951672018253
596,2.5,10,195,1.0,10.629951690245408
597,2.5,13,267,0.75,10.629951946204002
598,2.25,23,276,1.0,10.629952307604402
599,2.25,14,295,0.75,10.629952544938542
600,2.25,16,289,0.75,10.629953761510755
601,2.5,15,288,0.75,10.629953826803256
602,2.25,12,294,0.75,10.629954379871824
603,2.25,21,278,1.0,10.629954460278563
604,2.25,18,263,1.0,10.629954748728146
605,2.25,22,277,1.0,10.62995584602487
606,2.25,17,288,0.75,10.629955895635124
607,2.25,14,283,1.0,10.629956858842224
608,2.5,10,265,1.0,10.629957557711718
609,2.5,17,278,0.75,10.629958552452967
610,2.25,20,268,1.0,10.629959151144472
611,2.25,15,281,0.75,10.629960316605947
612,2.25,24,275,1.0,10.629960863305106
613,2.25,11,279,0.75,10.629961042340026
614,2.5,16,274,0.75,10.62996153704204
615,2.5,18,286,0.75,10.6299618105847
616,2.5,14,269,0.75,10.629962162529996
617,2.25,19,264,1.0,10.629962814318011
618,2.25,17,282,0.75,10.629963140687533
619,2.25,12,292,0.75,10.629963147262316
620,2.5,13,299,0.75,10.62996317801728
621,2.5,19,283,0.75,10.629963240525688
622,2.25,20,280,1.0,10.629964384502838
623,2.25,13,260,1.0,10.629964479120924
624,2.25,13,280,0.75,10.629964628559671
625,2.25,26,273,1.0,10.629964741440135
626,2.5,16,276,0.75,10.62996482847906
627,2.25,19,283,0.75,10.629965182032846
628,2.25,26,272,1.0,10.629966074719803
629,2.5,11,124,1.0,10.629966455199163
630,2.25,12,293,0.75,10.629966969249027
631,2.25,21,279,1.0,10.629967100727765
